region,model,scenario,hydro_year,calendar_year,dmdt,dhdt,calendar_year_5yr,dmdt_5yr_avg_calendar,dhdt_5yr_avg_calendar
06,ACCESS-CM2,ssp126,2001,2001,-14.962194,-0.72377944,,,
06,ACCESS-CM2,ssp126,2002,2002,-10.29689,-0.38070002,,,
06,ACCESS-CM2,ssp126,2003,2003,-2.5115652,0.009151519,,,
06,ACCESS-CM2,ssp126,2004,2004,-10.961012,-0.898539,,,
06,ACCESS-CM2,ssp126,2005,2005,-13.139204,-0.7544355,2005.0,-10.374173,-0.5496605
06,ACCESS-CM2,ssp126,2006,2006,-6.541906,-0.17592542,,,
06,ACCESS-CM2,ssp126,2007,2007,-7.19162,-0.403086,,,
06,ACCESS-CM2,ssp126,2008,2008,-1.2577956,0.12282502,,,
06,ACCESS-CM2,ssp126,2009,2009,-17.96699,-1.2000322,,,
06,ACCESS-CM2,ssp126,2010,2010,-5.390253,-0.026632736,2010.0,-7.669713,-0.3365703
06,ACCESS-CM2,ssp126,2011,2011,-23.587076,-1.6321578,,,
06,ACCESS-CM2,ssp126,2012,2012,1.3513274,0.52118945,,,
06,ACCESS-CM2,ssp126,2013,2013,-0.4285682,0.16643986,,,
06,ACCESS-CM2,ssp126,2014,2014,-1.5229449,0.1871638,,,
06,ACCESS-CM2,ssp126,2015,2015,-11.3834,-0.7366029,2015.0,-7.114133,-0.2987935
06,ACCESS-CM2,ssp126,2016,2016,-1.471619,0.32087472,,,
06,ACCESS-CM2,ssp126,2017,2017,-16.974007,-1.1090896,,,
06,ACCESS-CM2,ssp126,2018,2018,-16.878613,-0.9063236,,,
06,ACCESS-CM2,ssp126,2019,2019,-4.3859997,0.20922665,,,
06,ACCESS-CM2,ssp126,2020,2020,-22.11982,-0.96091145,2020.0,-12.366011,-0.48924464
06,ACCESS-CM2,ssp126,2021,2021,-25.247242,-1.8342779,,,
06,ACCESS-CM2,ssp126,2022,2022,-24.10449,-1.7137094,,,
06,ACCESS-CM2,ssp126,2023,2023,-19.152534,-0.89811516,,,
06,ACCESS-CM2,ssp126,2024,2024,-17.43402,-1.1750516,,,
06,ACCESS-CM2,ssp126,2025,2025,-13.6044855,-0.74239975,2025.0,-19.908554,-1.2727107
06,ACCESS-CM2,ssp126,2026,2026,-5.5954275,0.18324864,,,
06,ACCESS-CM2,ssp126,2027,2027,-15.26847,-0.47721764,,,
06,ACCESS-CM2,ssp126,2028,2028,-12.15111,-0.49475378,,,
06,ACCESS-CM2,ssp126,2029,2029,-11.766867,-0.6741357,,,
06,ACCESS-CM2,ssp126,2030,2030,-23.595076,-1.3518648,2030.0,-13.67539,-0.56294465
06,ACCESS-CM2,ssp126,2031,2031,-27.161486,-2.0465472,,,
06,ACCESS-CM2,ssp126,2032,2032,-24.745817,-1.7499228,,,
06,ACCESS-CM2,ssp126,2033,2033,-19.22464,-1.4840899,,,
06,ACCESS-CM2,ssp126,2034,2034,-8.690125,-0.4878189,,,
06,ACCESS-CM2,ssp126,2035,2035,-11.486107,-0.44729048,2035.0,-18.261635,-1.2431338
06,ACCESS-CM2,ssp126,2036,2036,-15.40262,-0.77420187,,,
06,ACCESS-CM2,ssp126,2037,2037,-16.808731,-0.869552,,,
06,ACCESS-CM2,ssp126,2038,2038,-19.366234,-1.192673,,,
06,ACCESS-CM2,ssp126,2039,2039,-8.296309,-0.5913023,,,
06,ACCESS-CM2,ssp126,2040,2040,-32.849487,-2.5339973,2040.0,-18.544676,-1.1923453
06,ACCESS-CM2,ssp126,2041,2041,-29.182991,-2.3331952,,,
06,ACCESS-CM2,ssp126,2042,2042,-21.926006,-1.6900612,,,
06,ACCESS-CM2,ssp126,2043,2043,-25.278286,-1.7396474,,,
06,ACCESS-CM2,ssp126,2044,2044,-26.169426,-1.9289237,,,
06,ACCESS-CM2,ssp126,2045,2045,-24.03196,-1.8268011,2045.0,-25.317734,-1.9037259
06,ACCESS-CM2,ssp126,2046,2046,-31.561857,-2.7789874,,,
06,ACCESS-CM2,ssp126,2047,2047,-28.387707,-2.005492,,,
06,ACCESS-CM2,ssp126,2048,2048,-37.275234,-2.9304738,,,
06,ACCESS-CM2,ssp126,2049,2049,-35.751247,-2.8482597,,,
06,ACCESS-CM2,ssp126,2050,2050,-35.13967,-2.231719,2050.0,-33.623146,-2.5589862
06,ACCESS-CM2,ssp126,2051,2051,-36.12104,-2.3783267,,,
06,ACCESS-CM2,ssp126,2052,2052,-30.375175,-1.7302935,,,
06,ACCESS-CM2,ssp126,2053,2053,-29.345379,-1.8518635,,,
06,ACCESS-CM2,ssp126,2054,2054,-34.82196,-1.999715,,,
06,ACCESS-CM2,ssp126,2055,2055,-21.511282,-0.94631016,2055.0,-30.434967,-1.7813017
06,ACCESS-CM2,ssp126,2056,2056,-23.03439,-1.0368112,,,
06,ACCESS-CM2,ssp126,2057,2057,-27.736174,-1.4452779,,,
06,ACCESS-CM2,ssp126,2058,2058,-20.988543,-0.92763144,,,
06,ACCESS-CM2,ssp126,2059,2059,-22.22747,-0.8826163,,,
06,ACCESS-CM2,ssp126,2060,2060,-25.557087,-1.200374,2060.0,-23.908733,-1.0985422
06,ACCESS-CM2,ssp126,2061,2061,-22.57862,-0.9507501,,,
06,ACCESS-CM2,ssp126,2062,2062,-21.01139,-0.63963586,,,
06,ACCESS-CM2,ssp126,2063,2063,-18.581047,-0.71493727,,,
06,ACCESS-CM2,ssp126,2064,2064,-38.795822,-1.6553116,,,
06,ACCESS-CM2,ssp126,2065,2065,-26.478447,-0.99934155,2065.0,-25.489065,-0.9919952
06,ACCESS-CM2,ssp126,2066,2066,-24.05535,-0.8734184,,,
06,ACCESS-CM2,ssp126,2067,2067,-19.856499,-0.60266167,,,
06,ACCESS-CM2,ssp126,2068,2068,-21.284386,-0.70382977,,,
06,ACCESS-CM2,ssp126,2069,2069,-22.145796,-0.5689464,,,
06,ACCESS-CM2,ssp126,2070,2070,-16.790348,-0.4273978,2070.0,-20.826475,-0.6352508
06,ACCESS-CM2,ssp126,2071,2071,-28.72982,-1.1074306,,,
06,ACCESS-CM2,ssp126,2072,2072,-29.255922,-0.7900385,,,
06,ACCESS-CM2,ssp126,2073,2073,-12.331486,-0.27175722,,,
06,ACCESS-CM2,ssp126,2074,2074,-15.986479,-0.32533297,,,
06,ACCESS-CM2,ssp126,2075,2075,-14.230615,-0.20640124,2075.0,-20.106865,-0.5401921
06,ACCESS-CM2,ssp126,2076,2076,-13.455435,-0.726154,,,
06,ACCESS-CM2,ssp126,2077,2077,-15.0467415,-0.3669619,,,
06,ACCESS-CM2,ssp126,2078,2078,-16.292042,-0.4189596,,,
06,ACCESS-CM2,ssp126,2079,2079,-16.51457,-0.5490881,,,
06,ACCESS-CM2,ssp126,2080,2080,-13.9361,-0.5656359,2080.0,-15.048978,-0.5253599
06,ACCESS-CM2,ssp126,2081,2081,-15.403539,-0.3921924,,,
06,ACCESS-CM2,ssp126,2082,2082,-10.075661,-0.21947756,,,
06,ACCESS-CM2,ssp126,2083,2083,-19.426754,-0.63378644,,,
06,ACCESS-CM2,ssp126,2084,2084,-15.022587,-0.44011882,,,
06,ACCESS-CM2,ssp126,2085,2085,-20.137657,-0.64488876,2085.0,-16.013239,-0.46609277
06,ACCESS-CM2,ssp126,2086,2086,-19.87727,-0.5913071,,,
06,ACCESS-CM2,ssp126,2087,2087,-16.7008,-0.4499713,,,
06,ACCESS-CM2,ssp126,2088,2088,-28.215565,-1.2341281,,,
06,ACCESS-CM2,ssp126,2089,2089,-9.139314,-0.17154042,,,
06,ACCESS-CM2,ssp126,2090,2090,-16.644258,-0.5260443,2090.0,-18.115442,-0.59459823
06,ACCESS-CM2,ssp126,2091,2091,-14.036822,-0.36123332,,,
06,ACCESS-CM2,ssp126,2092,2092,-21.241285,-0.72922593,,,
06,ACCESS-CM2,ssp126,2093,2093,-20.828783,-0.6386896,,,
06,ACCESS-CM2,ssp126,2094,2094,-19.699697,-0.5914275,,,
06,ACCESS-CM2,ssp126,2095,2095,-28.096184,-1.0377756,2095.0,-20.780554,-0.6716704
06,ACCESS-CM2,ssp126,2096,2096,-19.833096,-0.5714572,,,
06,ACCESS-CM2,ssp126,2097,2097,-20.618729,-0.60473335,,,
06,ACCESS-CM2,ssp126,2098,2098,-14.232601,-0.39413148,,,
06,ACCESS-CM2,ssp126,2099,2099,-16.998503,-0.48001763,,,
06,ACCESS-CM2,ssp126,2100,2100,-12.190201,-0.24043411,2100.0,-16.774626,-0.45815477
